model,output,metric,value
SVC,target,accuracy,0.8
SVC,target,precision,0.9166666666666666
SVC,target,recall,0.7857142857142857
SVC,target,f1,0.8461538461538461
SVC,target,train_time,249417041031.0
SVC,target,predict_time,1984417.0
SVC,target,logloss,1.1401315557528773
SVC,target,shscore,0.41858884050676626
SVC,target,roc_auc,0.8095238095238095
SVC,target,balanced_accuracy,0.8095238095238095
SVC,target,jaccard,0.7333333333333333
GradientBoosting,target,accuracy,0.9
GradientBoosting,target,precision,1.0
GradientBoosting,target,recall,0.8571428571428571
GradientBoosting,target,f1,0.923076923076923
GradientBoosting,target,train_time,88675512499.0
GradientBoosting,target,predict_time,728250.0
GradientBoosting,target,logloss,1.9133092365557818
GradientBoosting,target,shscore,0.4362455542494892
GradientBoosting,target,roc_auc,0.9285714285714286
GradientBoosting,target,balanced_accuracy,0.9285714285714286
GradientBoosting,target,jaccard,0.8571428571428571
GaussianNB,target,accuracy,0.85
GaussianNB,target,precision,1.0
GaussianNB,target,recall,0.7857142857142857
GaussianNB,target,f1,0.88
GaussianNB,target,train_time,50468018940.0
GaussianNB,target,predict_time,591958.0
GaussianNB,target,logloss,2.570518270704918
GaussianNB,target,shscore,0.24818520361078933
GaussianNB,target,roc_auc,0.8928571428571428
GaussianNB,target,balanced_accuracy,0.8928571428571428
GaussianNB,target,jaccard,0.7857142857142857
DecisionTree,target,accuracy,0.9
DecisionTree,target,precision,1.0
DecisionTree,target,recall,0.8571428571428571
DecisionTree,target,f1,0.923076923076923
DecisionTree,target,train_time,89100546957.0
DecisionTree,target,predict_time,426541.0
DecisionTree,target,logloss,3.604365338911715
DecisionTree,target,shscore,0.05110345444884101
DecisionTree,target,roc_auc,0.9285714285714286
DecisionTree,target,balanced_accuracy,0.9285714285714286
DecisionTree,target,jaccard,0.8571428571428571
KNeighbors,target,accuracy,0.45
KNeighbors,target,precision,0.6363636363636364
KNeighbors,target,recall,0.5
KNeighbors,target,f1,0.56
KNeighbors,target,train_time,86150882997.0
KNeighbors,target,predict_time,23652292.0
KNeighbors,target,logloss,11.132787966090271
KNeighbors,target,shscore,-5.714805128217279
KNeighbors,target,roc_auc,0.41666666666666663
KNeighbors,target,balanced_accuracy,0.41666666666666663
KNeighbors,target,jaccard,0.3888888888888889
AdaBoost,target,accuracy,0.85
AdaBoost,target,precision,1.0
AdaBoost,target,recall,0.7857142857142857
AdaBoost,target,f1,0.88
AdaBoost,target,train_time,93418299543.0
AdaBoost,target,predict_time,4639292.0
AdaBoost,target,logloss,0.5286379415076257
AdaBoost,target,shscore,0.6840799676434284
AdaBoost,target,roc_auc,0.8928571428571428
AdaBoost,target,balanced_accuracy,0.8928571428571428
AdaBoost,target,jaccard,0.7857142857142857
RandomForest,target,accuracy,0.85
RandomForest,target,precision,1.0
RandomForest,target,recall,0.7857142857142857
RandomForest,target,f1,0.88
RandomForest,target,train_time,108078714049.0
RandomForest,target,predict_time,101585417.0
RandomForest,target,logloss,0.36657490935487697
RandomForest,target,shscore,0.7468388871961933
RandomForest,target,roc_auc,0.8928571428571428
RandomForest,target,balanced_accuracy,0.8928571428571428
RandomForest,target,jaccard,0.7857142857142857
MLP,target,accuracy,0.85
MLP,target,precision,1.0
MLP,target,recall,0.7857142857142857
MLP,target,f1,0.88
MLP,target,train_time,95221539543.0
MLP,target,predict_time,1395000.0
MLP,target,logloss,0.36657840933971425
MLP,target,shscore,0.7631994630779724
MLP,target,roc_auc,0.8928571428571428
MLP,target,balanced_accuracy,0.8928571428571428
MLP,target,jaccard,0.7857142857142857
CatBoost,target,accuracy,0.9
CatBoost,target,precision,1.0
CatBoost,target,recall,0.8571428571428571
CatBoost,target,f1,0.923076923076923
CatBoost,target,train_time,220371347266.0
CatBoost,target,predict_time,3406375.0
CatBoost,target,logloss,0.5949656263259673
CatBoost,target,shscore,0.7360908042374033
CatBoost,target,roc_auc,0.9285714285714286
CatBoost,target,balanced_accuracy,0.9285714285714286
CatBoost,target,jaccard,0.8571428571428571
ExtraTrees,target,accuracy,0.85
ExtraTrees,target,precision,1.0
ExtraTrees,target,recall,0.7857142857142857
ExtraTrees,target,f1,0.88
ExtraTrees,target,train_time,109377414800.0
ExtraTrees,target,predict_time,180097083.0
ExtraTrees,target,logloss,0.31563566538183874
ExtraTrees,target,shscore,0.7707376705922907
ExtraTrees,target,roc_auc,0.8928571428571428
ExtraTrees,target,balanced_accuracy,0.8928571428571428
ExtraTrees,target,jaccard,0.7857142857142857
Dummy,target,accuracy,0.75
Dummy,target,precision,0.9090909090909091
Dummy,target,recall,0.7142857142857143
Dummy,target,f1,0.8
Dummy,target,train_time,70788204866.0
Dummy,target,predict_time,70708.0
Dummy,target,logloss,0.6931471805599453
Dummy,target,shscore,0.485744568375091
Dummy,target,roc_auc,0.773809523809524
Dummy,target,balanced_accuracy,0.7738095238095238
Dummy,target,jaccard,0.6666666666666666
HGB,target,accuracy,0.85
HGB,target,precision,1.0
HGB,target,recall,0.7857142857142857
HGB,target,f1,0.88
HGB,target,train_time,945386541764.0
HGB,target,predict_time,352032792.0
HGB,target,logloss,0.4120428511129389
HGB,target,shscore,0.7727242035713857
HGB,target,roc_auc,0.8928571428571428
HGB,target,balanced_accuracy,0.8928571428571428
HGB,target,jaccard,0.7857142857142857
LGBM,target,accuracy,0.75
LGBM,target,precision,1.0
LGBM,target,recall,0.6428571428571429
LGBM,target,f1,0.782608695652174
LGBM,target,train_time,496246393061.0
LGBM,target,predict_time,13033583.0
LGBM,target,logloss,0.7379571072680248
LGBM,target,shscore,0.6237237222745272
LGBM,target,roc_auc,0.8214285714285714
LGBM,target,balanced_accuracy,0.8214285714285714
LGBM,target,jaccard,0.6428571428571429
XGB,target,accuracy,0.75
XGB,target,precision,1.0
XGB,target,recall,0.6428571428571429
XGB,target,f1,0.782608695652174
XGB,target,train_time,269251853831.0
XGB,target,predict_time,17765083.0
XGB,target,logloss,0.5619449663072207
XGB,target,shscore,0.6506497007818446
XGB,target,roc_auc,0.8214285714285714
XGB,target,balanced_accuracy,0.8214285714285714
XGB,target,jaccard,0.6428571428571429
ExtraTree,target,accuracy,0.5
ExtraTree,target,precision,0.8333333333333334
ExtraTree,target,recall,0.35714285714285715
ExtraTree,target,f1,0.5
ExtraTree,target,train_time,81536347995.0
ExtraTree,target,predict_time,635291.0
ExtraTree,target,logloss,7.416674831991415
ExtraTree,target,shscore,-2.0471861578258346
ExtraTree,target,roc_auc,0.5952380952380953
ExtraTree,target,balanced_accuracy,0.5952380952380952
ExtraTree,target,jaccard,0.3333333333333333
